Index,ARD,CCP,CON,CNT,HTP,LCP,LTC,LTY,PCH,YNP,BUN,ILV,RMS,BRJ,CZT,PCP,RQN
1980-01-01,36.097,20.97,128.769,5.032,54.55,16.5,0.67,14.74,1.684,58.581,10.622,NA,NA,NA,NA,NA,NA
1980-02-01,90.552,22.15,142.286,4.083,58.03,11.2,0.457,21.64,1.652,62.162,4.974,NA,NA,NA,NA,NA,NA
1980-03-01,93.903,35.66,129.477,13.85,193.3,17.61,4.435,42.99,7.882,48.506,25.983,NA,NA,NA,NA,NA,NA
1980-04-01,148.267,22.59,129.982,4.373,86,14.21,0.552,10.55,5.665,43.373,1.893,NA,NA,NA,NA,NA,NA
1980-05-01,60.29,16.3,72.219,0.521,41.25,2.08,0.769,2.278,2.036,16.418,0.075,NA,NA,NA,NA,NA,NA
1980-06-01,52.667,14.71,64.729,NA,32.55,1.33,0.819,1.081,1.343,13.133,0.082,NA,NA,NA,NA,NA,NA
1980-07-01,47.452,9.852,50.678,NA,30.05,1.1,0.842,0.563,1.772,11.181,0.146,NA,NA,NA,NA,NA,NA
1980-08-01,25.71,8.185,54.079,NA,26.99,0.88,0.6,0.55,0.673,10.055,0.055,NA,NA,NA,NA,NA,NA
1980-09-01,23.233,7.287,72.386,3.863,28.63,0.84,0.488,0.593,0.423,11.622,1.203,NA,NA,NA,NA,NA,NA
1980-10-01,33.419,8.446,108.728,2.41,26.75,4.56,0.371,4.808,8.149,26.335,0.125,NA,NA,NA,NA,NA,NA
1980-11-01,28.2,10.15,138.923,1.54,30.62,2.74,0.299,1.49,3.574,26.283,0.075,NA,NA,NA,NA,NA,NA
1980-12-01,46.516,6.277,238.559,3.458,29.13,9.18,0.215,13.91,3.731,49.339,0.567,NA,NA,NA,NA,NA,NA
1981-01-01,42.065,28.03,159.377,5.143,81.85,15.04,0.388,31.86,0.985,47.339,3.961,NA,167.9248387,NA,NA,NA,NA
1981-02-01,59.679,214.6,477.124,33,458,80.07,7.356,102.4,10.42,187.357,50.22,NA,275.4114286,NA,NA,NA,NA
1981-03-01,277.129,56.3,394.021,26.56,124.9,66.39,4.083,61.48,10.87,232.484,27.89,NA,329.0390323,NA,NA,NA,NA
1981-04-01,105.567,31.93,177.721,9.113,54.14,12.62,0.685,29.66,11.91,54.533,15.67,NA,153.5083333,NA,NA,NA,NA
1981-05-01,61.129,10.38,86.748,0.821,34.62,1.69,0.68,4.052,2.177,23.36,0.71,NA,41.05709677,NA,NA,NA,NA
1981-06-01,45.3,9.389,66.863,NA,27.69,1.07,0.833,1.205,4.702,17.208,0.425,NA,16.543,NA,NA,NA,NA
1981-07-01,34.452,8.835,54.731,NA,26.9,1.14,0.791,0.918,2.071,14.977,0.316,NA,8.405806452,NA,NA,NA,NA
1981-08-01,18.71,11.69,47.592,NA,24.15,1.2,0.674,0.772,0.912,16.661,0.293,NA,4.810322581,NA,NA,NA,NA
1981-09-01,17.667,9.343,44.421,4.493,21.36,1.06,0.558,1.531,0.384,16.405,0.155,NA,2.855333333,NA,NA,NA,NA
1981-10-01,19.065,6.406,89.582,3.587,19.58,2.28,0.327,2.506,2.155,20.119,0.191,NA,3.499354839,NA,NA,NA,NA
1981-11-01,11.5,6.274,171.013,4.147,20.03,4.42,0.311,6.865,1.712,26.984,0.247,NA,11.31133333,NA,NA,NA,NA
1981-12-01,29.097,10.32,195.027,6.852,27.24,13.07,1.053,29.06,3.968,47.403,13.605,NA,58.30322581,NA,NA,NA,NA
1982-01-01,39.032,114.2,175.777,10.77,165.4,16.52,1.407,36.06,1.213,89.323,18.696,NA,275.2596774,NA,NA,NA,NA
1982-02-01,54.179,31.52,350.225,31.62,86.22,104.29,2.459,91.06,2.634,119.357,74.546,NA,136.8035714,NA,NA,NA,NA
1982-03-01,58.452,39.14,190.043,25.02,88.03,32.89,1.231,58.79,2.576,67.113,17.417,NA,187.15,NA,NA,NA,NA
1982-04-01,76.067,30.2,192.777,8.25,69.83,15.89,0.753,16.72,5.762,43.607,14.263,NA,146.8186667,NA,NA,NA,NA
1982-05-01,41.774,16.13,97.735,0.929,36.15,3.96,0.608,3.427,2.563,22.023,1.673,NA,43.90322581,NA,NA,NA,NA
1982-06-01,33.133,9.968,65.463,0.563,34.04,2.51,0.855,1.913,1.841,16.595,0.809,NA,18.30133333,NA,NA,NA,NA
1982-07-01,32.968,8.525,48.873,NA,30.33,2.08,0.743,1.532,2.071,12.916,0.584,NA,9.170645161,NA,NA,NA,NA
